Claim_ID,Policy_ID,Customer_ID,Claim_Date,Claim_Type,Claim_Amount,Approved_Amount,Claim_Status,Settlement_Date,Provider,Fraud_Score,Fraud_Risk,Claim_TAT_Days
3002088,2009091,1009091,5-22-2025,Damage,11210,0,Pending,06-02-25,Max Partner,35,Low Risk,11
3002116,2009186,1009186,6-27-2024,Damage,23094,0,Pending,08-04-24,Prime Garage,12,Low Risk,38
3002126,2009230,1009230,04-10-25,Damage,33252,0,Pending,6-14-2025,Prime Garage,25,Low Risk,65
3002216,2009668,1009668,9-26-2025,Damage,33230,0,Pending,12-08-25,City Care,16,Low Risk,73
3002234,2009746,1009746,1-14-2025,Damage,39306,0,Pending,1-26-2025,Prime Garage,7,Low Risk,12
3002248,2009826,1009826,6-29-2025,Damage,10168,0,Pending,8-26-2025,Apollo Partner,5,Low Risk,58
3002292,2009991,1009991,1-18-2026,Damage,14155,0,Pending,1-25-2026,AutoCare Garage,17,Low Risk,7
3002332,2010119,1010119,12-07-24,Damage,10016,0,Pending,01-02-25,Apollo Partner,11,Low Risk,26
3002408,2010480,1010480,11-07-24,Damage,8002,0,Pending,12-27-2024,Max Partner,9,Low Risk,50
3002424,2010594,1010594,08-05-25,Damage,5687,0,Pending,8-25-2025,Prime Garage,11,Low Risk,20
3002499,2010912,1010912,5-18-2024,Damage,18736,0,Pending,6-16-2024,Fortis Partner,1,Low Risk,29
3002587,2011340,1011340,9-13-2025,Damage,13179,0,Pending,10-26-2025,Fortis Partner,13,Low Risk,43
3002628,2011513,1011513,7-24-2024,Damage,69748,0,Pending,9-15-2024,City Care,5,Low Risk,53
3002656,2011631,1011631,12-02-25,Damage,9483,0,Pending,1-29-2026,Fortis Partner,5,Low Risk,58
3002681,2011707,1011707,10-25-2024,Damage,31226,0,Pending,11-03-24,Fortis Partner,2,Low Risk,9
3002897,2012646,1012646,7-22-2024,Damage,6068,0,Pending,09-09-24,Fortis Partner,13,Low Risk,49
3002909,2012685,1012685,11-30-2025,Damage,34865,0,Pending,01-03-26,Prime Garage,5,Low Risk,34
3002919,2012723,1012723,8-21-2025,Damage,97060,0,Pending,09-06-25,AutoCare Garage,18,Low Risk,16
3002940,2012803,1012803,08-10-24,Damage,17734,0,Pending,8-18-2024,Apollo Partner,24,Low Risk,8
3003089,2013432,1013432,12-11-25,Damage,42236,0,Pending,1-29-2026,Max Partner,4,Low Risk,49
3003111,2013536,1013536,3-22-2026,Damage,109151,0,Pending,04-04-26,Max Partner,36,Low Risk,13
3003213,2014024,1014024,10-26-2025,Damage,20311,0,Pending,11-16-2025,Max Partner,21,Low Risk,21
3003252,2014203,1014203,2-15-2025,Damage,6961,0,Pending,3-31-2025,Metro Hospital,11,Low Risk,44
3003267,2014259,1014259,1-21-2025,Damage,23204,0,Pending,1-29-2025,AutoCare Garage,11,Low Risk,8
3003336,2014588,1014588,11-08-24,Damage,22531,0,Pending,1-18-2025,Metro Hospital,5,Low Risk,71
3003478,2015213,1015213,5-21-2024,Damage,9635,0,Pending,7-26-2024,City Care,12,Low Risk,66
3003623,2015820,1015820,6-23-2024,Damage,7954,0,Pending,7-22-2024,Prime Garage,12,Low Risk,29
3003625,2015822,1015822,10-18-2025,Damage,6465,0,Pending,12-02-25,City Care,8,Low Risk,45
3003873,2016983,1016983,3-18-2025,Damage,10061,0,Pending,3-25-2025,AutoCare Garage,3,Low Risk,7
3003890,2017069,1017069,6-17-2024,Damage,8329,0,Pending,08-11-24,Local Provider,18,Low Risk,55
3003921,2017194,1017194,02-01-25,Damage,32879,0,Pending,03-02-25,Local Provider,23,Low Risk,29
3003971,2017451,1017451,1-23-2025,Damage,32699,0,Pending,03-12-25,Apollo Partner,6,Low Risk,48
3003975,2017466,1017466,4-29-2025,Damage,27264,0,Pending,06-04-25,AutoCare Garage,22,Low Risk,36
3004029,2017715,1017715,7-16-2025,Damage,8442,0,Pending,08-11-25,AutoCare Garage,20,Low Risk,26
3004052,2017781,1017781,12-15-2024,Damage,15329,0,Pending,1-28-2025,Local Provider,11,Low Risk,44
3004163,2018232,1018232,02-11-25,Damage,84219,0,Pending,3-25-2025,AutoCare Garage,24,Low Risk,42
3004192,2018356,1018356,10-17-2024,Damage,33500,0,Pending,12-03-24,Fortis Partner,21,Low Risk,47
3004200,2018407,1018407,1-17-2025,Damage,14330,0,Pending,3-16-2025,AutoCare Garage,20,Low Risk,58
3004365,2019178,1019178,6-15-2026,Damage,24979,0,Pending,7-29-2026,City Care,5,Low Risk,44
3004415,2019413,1019413,12-23-2024,Damage,36705,0,Pending,12-28-2024,Metro Hospital,36,Low Risk,5
3004446,2019598,1019598,8-16-2024,Damage,14413,0,Pending,10-05-24,Local Provider,4,Low Risk,50
3004617,2020345,1020345,10-02-24,Damage,87967,0,Pending,12-01-24,Prime Garage,21,Low Risk,60
3004665,2020569,1020569,5-15-2026,Damage,21396,0,Pending,7-18-2026,Prime Garage,24,Low Risk,64
3004734,2020885,1020885,01-09-26,Damage,85637,0,Pending,1-27-2026,Metro Hospital,26,Low Risk,18
3004774,2021117,1021117,10-14-2024,Damage,15590,0,Pending,12-26-2024,Apollo Partner,26,Low Risk,73
3004852,2021500,1021500,03-10-26,Damage,7882,0,Pending,05-06-26,Local Provider,2,Low Risk,57
3004853,2021504,1021504,04-11-26,Damage,48337,0,Pending,05-11-26,Apollo Partner,24,Low Risk,30
3004908,2021754,1021754,03-02-26,Damage,45022,0,Pending,4-14-2026,Apollo Partner,10,Low Risk,43
3004942,2021896,1021896,12-20-2025,Damage,37028,0,Pending,01-02-26,AutoCare Garage,12,Low Risk,13
3005066,2022422,1022422,8-13-2024,Damage,29461,0,Pending,8-25-2024,Local Provider,16,Low Risk,12
3005073,2022456,1022456,12-08-25,Damage,14028,0,Pending,1-29-2026,Apollo Partner,31,Low Risk,52
3005092,2022564,1022564,5-16-2026,Damage,3360,0,Pending,5-23-2026,AutoCare Garage,4,Low Risk,7
3005173,2022939,1022939,8-30-2024,Damage,15622,0,Pending,11-11-24,City Care,7,Low Risk,73
3005242,2023230,1023230,6-14-2026,Damage,27186,0,Pending,6-24-2026,Max Partner,23,Low Risk,10
3005277,2023420,1023420,5-19-2026,Damage,58312,0,Pending,06-10-26,City Care,25,Low Risk,22
3005380,2023888,1023888,5-29-2026,Damage,15908,0,Pending,07-11-26,AutoCare Garage,9,Low Risk,43
3005402,2023965,1023965,03-04-26,Damage,11454,0,Pending,05-04-26,Fortis Partner,19,Low Risk,61
3005434,2024093,1024093,08-10-24,Damage,89761,0,Pending,10-10-24,City Care,3,Low Risk,61
3005441,2024119,1024119,1-19-2026,Damage,62248,0,Pending,04-01-26,Local Provider,25,Low Risk,72
3005457,2024197,1024197,7-30-2025,Damage,28029,0,Pending,9-16-2025,Local Provider,10,Low Risk,48
3005466,2024242,1024242,05-06-24,Damage,33489,0,Pending,07-01-24,Apollo Partner,17,Low Risk,56
3005468,2024247,1024247,03-10-26,Damage,35296,0,Pending,04-11-26,Prime Garage,13,Low Risk,32
3005472,2024253,1024253,7-14-2024,Damage,13311,0,Pending,7-22-2024,Prime Garage,7,Low Risk,8
3005484,2024330,1024330,2-26-2026,Damage,13731,0,Pending,04-10-26,Max Partner,37,Low Risk,43
3005509,2024446,1024446,07-04-24,Damage,16609,0,Pending,07-08-24,AutoCare Garage,10,Low Risk,4
3005517,2024493,1024493,9-16-2025,Damage,4902,0,Pending,11-24-2025,Max Partner,16,Low Risk,69
3005535,2024570,1024570,5-22-2024,Damage,15991,0,Pending,6-29-2024,City Care,14,Low Risk,38
3005732,2025420,1025420,8-17-2025,Damage,38005,0,Pending,9-19-2025,Metro Hospital,37,Low Risk,33
3005770,2025648,1025648,7-21-2026,Damage,28019,0,Pending,9-25-2026,Max Partner,32,Low Risk,66
3005966,2026520,1026520,8-31-2024,Damage,8887,0,Pending,9-27-2024,Fortis Partner,2,Low Risk,27
3005996,2026665,1026665,6-29-2025,Damage,24246,0,Pending,08-06-25,City Care,5,Low Risk,38
3006074,2027042,1027042,10-22-2025,Damage,13307,0,Pending,12-09-25,Prime Garage,27,Low Risk,48
3006076,2027058,1027058,1-26-2026,Damage,34354,0,Pending,03-04-26,Local Provider,8,Low Risk,37
3006225,2027795,1027795,09-11-25,Damage,30384,0,Pending,11-14-2025,City Care,12,Low Risk,64
3006269,2027985,1027985,12-08-25,Damage,12820,0,Pending,02-11-26,Prime Garage,25,Low Risk,65
3006366,2028398,1028398,6-17-2026,Damage,14607,0,Pending,07-02-26,City Care,29,Low Risk,15
3006385,2028455,1028455,4-29-2026,Damage,10237,0,Pending,07-07-26,Max Partner,32,Low Risk,69
3006404,2028533,1028533,2-22-2025,Damage,31937,0,Pending,04-06-25,Max Partner,34,Low Risk,43
3006450,2028724,1028724,4-14-2025,Damage,6889,0,Pending,6-17-2025,Max Partner,10,Low Risk,64
3006469,2028820,1028820,5-28-2026,Damage,16737,0,Pending,06-03-26,Apollo Partner,5,Low Risk,6
3006506,2028974,1028974,12-01-25,Damage,55469,0,Pending,1-24-2026,Local Provider,10,Low Risk,54
3006521,2029075,1029075,04-12-25,Damage,21122,0,Pending,06-02-25,Local Provider,16,Low Risk,51
3006663,2029706,1029706,7-24-2025,Damage,22787,0,Pending,9-27-2025,Fortis Partner,36,Low Risk,65
3006681,2029764,1029764,11-02-24,Damage,12951,0,Pending,11-14-2024,AutoCare Garage,39,Low Risk,12
3006745,2030021,1030021,04-11-25,Damage,32502,0,Pending,5-22-2025,Local Provider,4,Low Risk,41
3006857,2030518,1030518,9-24-2024,Damage,8040,0,Pending,11-05-24,Prime Garage,16,Low Risk,42
3006936,2030883,1030883,8-22-2026,Damage,15129,0,Pending,9-22-2026,Apollo Partner,6,Low Risk,31
3006940,2030893,1030893,11-18-2025,Damage,23526,0,Pending,12-08-25,Metro Hospital,23,Low Risk,20
3007062,2031465,1031465,04-09-24,Damage,17877,0,Pending,05-09-24,Fortis Partner,7,Low Risk,30
3007073,2031505,1031505,08-07-25,Damage,31698,0,Pending,9-24-2025,Prime Garage,1,Low Risk,48
3007198,2032128,1032128,01-12-26,Damage,12893,0,Pending,1-20-2026,Prime Garage,16,Low Risk,8
3007255,2032400,1032400,09-02-24,Damage,31404,0,Pending,09-07-24,Local Provider,17,Low Risk,5
3007272,2032466,1032466,4-30-2026,Damage,10222,0,Pending,05-04-26,Local Provider,24,Low Risk,4
3007290,2032552,1032552,02-06-25,Damage,33528,0,Pending,3-26-2025,Prime Garage,6,Low Risk,48
3007300,2032580,1032580,6-26-2024,Damage,9095,0,Pending,8-20-2024,Max Partner,13,Low Risk,55
3007351,2032793,1032793,6-24-2025,Damage,69809,0,Pending,08-12-25,City Care,2,Low Risk,49
3007373,2032873,1032873,10-02-26,Damage,60834,0,Pending,10-06-26,AutoCare Garage,37,Low Risk,4
3007489,2033420,1033420,03-11-25,Damage,20498,0,Pending,4-27-2025,Fortis Partner,7,Low Risk,47
3007643,2034212,1034212,2-27-2024,Damage,15234,0,Pending,04-11-24,Prime Garage,6,Low Risk,44
3007683,2034417,1034417,7-23-2025,Damage,45548,0,Pending,08-03-25,Prime Garage,1,Low Risk,11
3007791,2034882,1034882,5-15-2025,Damage,20143,0,Pending,6-28-2025,Fortis Partner,5,Low Risk,44
3007842,2035079,1035079,8-30-2024,Damage,39853,0,Pending,10-04-24,Apollo Partner,34,Low Risk,35
3007863,2035160,1035160,11-18-2024,Damage,29397,0,Pending,1-26-2025,Metro Hospital,20,Low Risk,69
3007869,2035177,1035177,3-30-2026,Damage,40802,0,Pending,5-19-2026,Apollo Partner,37,Low Risk,50
3008116,2036185,1036185,12-08-25,Damage,48269,0,Pending,12-12-25,City Care,10,Low Risk,4
3008185,2036524,1036524,7-24-2026,Damage,28798,0,Pending,09-04-26,Fortis Partner,13,Low Risk,42
3008358,2037278,1037278,9-28-2025,Damage,13717,0,Pending,10-23-2025,City Care,5,Low Risk,25
3008481,2037777,1037777,04-10-25,Damage,39322,0,Pending,5-15-2025,Apollo Partner,17,Low Risk,35
3008525,2037978,1037978,01-05-26,Damage,16944,0,Pending,2-27-2026,Metro Hospital,19,Low Risk,53
3008533,2038009,1038009,08-07-24,Damage,17685,0,Pending,10-08-24,Apollo Partner,38,Low Risk,62
3008586,2038229,1038229,2-23-2025,Damage,15357,0,Pending,4-26-2025,Fortis Partner,9,Low Risk,62
3008596,2038262,1038262,05-07-25,Damage,16694,0,Pending,6-19-2025,Metro Hospital,12,Low Risk,43
3008601,2038279,1038279,12-12-25,Damage,22800,0,Pending,1-16-2026,Fortis Partner,23,Low Risk,35
3008638,2038478,1038478,4-16-2025,Damage,17484,0,Pending,05-09-25,Prime Garage,11,Low Risk,23
3008658,2038581,1038581,5-19-2024,Damage,11545,0,Pending,07-09-24,Local Provider,11,Low Risk,51
3008696,2038757,1038757,2-19-2025,Damage,60606,0,Pending,03-03-25,Fortis Partner,11,Low Risk,12
3008794,2039235,1039235,09-04-25,Damage,298852,0,Pending,10-24-2025,Apollo Partner,13,Low Risk,50
3008881,2039638,1039638,08-11-24,Damage,15200,0,Pending,9-16-2024,AutoCare Garage,7,Low Risk,36
3008899,2039716,1039716,11-29-2024,Damage,20577,0,Pending,12-16-2024,Max Partner,17,Low Risk,17
3008973,2040105,1040105,11-06-25,Damage,48508,0,Pending,11-14-2025,City Care,7,Low Risk,8
3008991,2040208,1040208,08-03-24,Damage,79320,0,Pending,8-20-2024,Metro Hospital,24,Low Risk,17
3009053,2040510,1040510,12-09-24,Damage,51137,0,Pending,02-08-25,Apollo Partner,32,Low Risk,61
3009132,2040832,1040832,05-01-24,Damage,11929,0,Pending,6-14-2024,City Care,2,Low Risk,44
3009192,2041109,1041109,2-22-2026,Damage,23306,0,Pending,4-19-2026,Fortis Partner,3,Low Risk,56
3009199,2041146,1041146,5-14-2025,Damage,33440,0,Pending,06-03-25,Fortis Partner,12,Low Risk,20
3009298,2041547,1041547,5-27-2024,Damage,10381,0,Pending,08-07-24,City Care,13,Low Risk,72
3009437,2042214,1042214,3-30-2025,Damage,10143,0,Pending,4-13-2025,Metro Hospital,10,Low Risk,14
3009450,2042270,1042270,3-20-2025,Damage,250532,0,Pending,5-22-2025,Fortis Partner,1,Low Risk,63
3009467,2042324,1042324,5-13-2024,Damage,29022,0,Pending,6-26-2024,Metro Hospital,9,Low Risk,44
3009475,2042361,1042361,12-06-25,Damage,10910,0,Pending,02-11-26,Local Provider,32,Low Risk,67
3009684,2043317,1043317,10-12-25,Damage,41166,0,Pending,11-06-25,AutoCare Garage,14,Low Risk,25
3009698,2043361,1043361,1-26-2025,Damage,34045,0,Pending,2-17-2025,AutoCare Garage,37,Low Risk,22
3009710,2043397,1043397,04-06-25,Damage,30604,0,Pending,06-01-25,Apollo Partner,4,Low Risk,56
3009727,2043484,1043484,7-22-2026,Damage,52700,0,Pending,9-15-2026,Fortis Partner,3,Low Risk,55
3009778,2043698,1043698,03-05-25,Damage,20609,0,Pending,05-05-25,Prime Garage,30,Low Risk,61
3009781,2043704,1043704,8-14-2026,Damage,15110,0,Pending,8-22-2026,Fortis Partner,16,Low Risk,8
3009834,2043981,1043981,04-12-24,Damage,124063,0,Pending,06-10-24,Prime Garage,10,Low Risk,59
3009850,2044074,1044074,4-30-2026,Damage,9152,0,Pending,07-04-26,Max Partner,20,Low Risk,65
3009852,2044092,1044092,12-03-24,Damage,21345,0,Pending,12-24-2024,Fortis Partner,13,Low Risk,21
3009937,2044451,1044451,12-07-24,Damage,39726,0,Pending,02-09-25,Metro Hospital,26,Low Risk,64
3010185,2045549,1045549,6-14-2025,Damage,10307,0,Pending,8-20-2025,Prime Garage,34,Low Risk,67
3010234,2045747,1045747,08-08-26,Damage,13541,0,Pending,9-24-2026,AutoCare Garage,17,Low Risk,47
3010303,2046079,1046079,2-25-2026,Damage,3000,0,Pending,05-05-26,AutoCare Garage,13,Low Risk,69
3010314,2046132,1046132,12-19-2025,Damage,6506,0,Pending,2-21-2026,Fortis Partner,12,Low Risk,64
3010443,2046684,1046684,10-07-24,Damage,6995,0,Pending,12-18-2024,Local Provider,34,Low Risk,72
3010508,2046988,1046988,6-21-2024,Damage,15632,0,Pending,7-27-2024,Max Partner,5,Low Risk,36
3010533,2047111,1047111,11-02-24,Damage,7967,0,Pending,11-25-2024,Metro Hospital,1,Low Risk,23
3010710,2047909,1047909,08-08-25,Damage,58083,0,Pending,9-13-2025,Fortis Partner,0,Low Risk,36
3010760,2048089,1048089,9-13-2025,Damage,54013,0,Pending,10-04-25,Metro Hospital,3,Low Risk,21
3010788,2048188,1048188,8-27-2024,Damage,38536,0,Pending,11-09-24,Max Partner,20,Low Risk,74
3010919,2048813,1048813,2-15-2025,Damage,14572,0,Pending,3-14-2025,Max Partner,20,Low Risk,27
3010921,2048828,1048828,6-16-2025,Damage,23250,0,Pending,08-02-25,City Care,19,Low Risk,47
3010975,2049050,1049050,5-13-2025,Damage,25836,0,Pending,07-04-25,Max Partner,11,Low Risk,52
3011059,2049398,1049398,6-28-2026,Damage,13478,0,Pending,7-22-2026,Max Partner,32,Low Risk,24
3011115,2049669,1049669,10-23-2025,Damage,36455,0,Pending,11-11-25,Prime Garage,22,Low Risk,19
3011231,2050207,1050207,7-18-2026,Damage,16067,0,Pending,9-24-2026,Max Partner,8,Low Risk,68
3011259,2050349,1050349,4-20-2025,Damage,28373,0,Pending,05-08-25,Prime Garage,17,Low Risk,18
3011300,2050545,1050545,12-04-25,Damage,12177,0,Pending,01-06-26,Max Partner,9,Low Risk,33
3011314,2050617,1050617,2-28-2026,Damage,17578,0,Pending,4-15-2026,Fortis Partner,8,Low Risk,46
3011327,2050661,1050661,11-28-2025,Damage,115755,0,Pending,01-01-26,Local Provider,35,Low Risk,34
3011555,2051751,1051751,7-27-2026,Damage,7856,0,Pending,09-12-26,AutoCare Garage,12,Low Risk,47
3011567,2051796,1051796,12-13-2025,Damage,11268,0,Pending,2-23-2026,Metro Hospital,4,Low Risk,72
3011595,2051897,1051897,7-14-2025,Damage,80893,0,Pending,09-12-25,Prime Garage,4,Low Risk,60
3011648,2052170,1052170,12-01-25,Damage,9886,0,Pending,02-09-26,City Care,12,Low Risk,70
3011663,2052211,1052211,12-13-2024,Damage,43939,0,Pending,2-14-2025,City Care,39,Low Risk,63
3011821,2052895,1052895,04-07-25,Damage,12934,0,Pending,06-09-25,City Care,16,Low Risk,63
3011835,2052944,1052944,02-05-26,Damage,13621,0,Pending,3-23-2026,Fortis Partner,19,Low Risk,46
3011862,2053063,1053063,03-12-25,Damage,16441,0,Pending,3-20-2025,Prime Garage,5,Low Risk,8
3011886,2053163,1053163,01-11-25,Damage,9003,0,Pending,2-22-2025,Fortis Partner,16,Low Risk,42
3011902,2053231,1053231,5-14-2025,Damage,39695,0,Pending,07-11-25,Apollo Partner,10,Low Risk,58
3011946,2053429,1053429,1-19-2026,Damage,38107,0,Pending,3-23-2026,Local Provider,1,Low Risk,63
3011971,2053538,1053538,5-18-2025,Damage,28044,0,Pending,5-26-2025,AutoCare Garage,16,Low Risk,8
3011997,2053644,1053644,12-16-2025,Damage,44631,0,Pending,02-02-26,AutoCare Garage,36,Low Risk,48
3011998,2053645,1053645,03-07-24,Damage,53153,0,Pending,05-08-24,Prime Garage,8,Low Risk,62
3012055,2053926,1053926,11-01-25,Damage,69231,0,Pending,1-14-2026,AutoCare Garage,9,Low Risk,74
3012258,2054849,1054849,7-24-2025,Damage,8682,0,Pending,8-27-2025,Max Partner,28,Low Risk,34
3012354,2055407,1055407,07-04-25,Damage,14971,0,Pending,7-21-2025,Metro Hospital,10,Low Risk,17
3012381,2055590,1055590,8-22-2025,Damage,24741,0,Pending,10-24-2025,Local Provider,7,Low Risk,63
3012433,2055794,1055794,12-13-2025,Damage,28423,0,Pending,2-20-2026,Apollo Partner,6,Low Risk,69
3012517,2056217,1056217,05-06-25,Damage,13776,0,Pending,05-10-25,Fortis Partner,30,Low Risk,4
3012584,2056472,1056472,12-02-25,Damage,16618,0,Pending,12-13-2025,Apollo Partner,20,Low Risk,11
3012590,2056501,1056501,03-06-26,Damage,6694,0,Pending,4-25-2026,Apollo Partner,13,Low Risk,50
3012636,2056767,1056767,12-29-2024,Damage,14514,0,Pending,2-16-2025,Local Provider,8,Low Risk,49
3012658,2056874,1056874,7-25-2024,Damage,21409,0,Pending,8-18-2024,Local Provider,15,Low Risk,24
3012790,2057450,1057450,2-17-2026,Damage,92671,0,Pending,2-26-2026,Apollo Partner,26,Low Risk,9
3012794,2057461,1057461,02-07-25,Damage,78164,0,Pending,3-17-2025,Fortis Partner,1,Low Risk,38
3012898,2057934,1057934,05-11-26,Damage,57666,0,Pending,5-30-2026,Metro Hospital,17,Low Risk,19
3012948,2058192,1058192,5-13-2024,Damage,15269,0,Pending,06-07-24,Fortis Partner,34,Low Risk,25
3012971,2058280,1058280,8-13-2026,Damage,29552,0,Pending,8-31-2026,Max Partner,0,Low Risk,18
3013042,2058595,1058595,6-21-2024,Damage,4693,0,Pending,7-25-2024,City Care,22,Low Risk,34
3013116,2058947,1058947,11-02-24,Damage,26963,0,Pending,12-02-24,Fortis Partner,25,Low Risk,30
3013126,2058986,1058986,04-09-25,Damage,3000,0,Pending,5-16-2025,City Care,22,Low Risk,37
3013254,2059612,1059612,8-15-2025,Damage,21198,0,Pending,10-23-2025,Local Provider,12,Low Risk,69
3013296,2059805,1059805,9-23-2025,Damage,27892,0,Pending,10-15-2025,City Care,23,Low Risk,22
3013393,2060302,1060302,03-06-25,Damage,30435,0,Pending,05-09-25,Max Partner,10,Low Risk,64
3013404,2060332,1060332,03-02-26,Damage,13904,0,Pending,4-26-2026,City Care,28,Low Risk,55
3013482,2060699,1060699,5-29-2025,Damage,25484,0,Pending,07-06-25,Fortis Partner,36,Low Risk,38
3013586,2061147,1061147,5-19-2025,Damage,21533,0,Pending,07-06-25,Max Partner,8,Low Risk,48
3013658,2061491,1061491,11-22-2024,Damage,125721,0,Pending,12-07-24,Prime Garage,6,Low Risk,15
3013736,2061845,1061845,7-25-2024,Damage,26487,0,Pending,8-28-2024,Max Partner,13,Low Risk,34
3013811,2062167,1062167,8-19-2025,Damage,3000,0,Pending,9-18-2025,Prime Garage,20,Low Risk,30
3013865,2062390,1062390,07-10-25,Damage,28387,0,Pending,8-19-2025,Fortis Partner,26,Low Risk,40
3013900,2062541,1062541,2-21-2025,Damage,38863,0,Pending,4-19-2025,Local Provider,10,Low Risk,57
3014074,2063247,1063247,12-17-2024,Damage,74783,0,Pending,01-01-25,Fortis Partner,19,Low Risk,15
3014120,2063482,1063482,01-01-26,Damage,16597,0,Pending,02-03-26,Prime Garage,5,Low Risk,33
3014141,2063571,1063571,3-23-2026,Damage,33242,0,Pending,05-06-26,Local Provider,0,Low Risk,44
3014176,2063693,1063693,1-27-2025,Damage,9517,0,Pending,3-26-2025,Apollo Partner,17,Low Risk,58
3014243,2064011,1064011,02-05-26,Damage,9186,0,Pending,2-20-2026,Apollo Partner,8,Low Risk,15
3014296,2064213,1064213,07-10-26,Damage,26681,0,Pending,7-14-2026,Fortis Partner,28,Low Risk,4
3014322,2064327,1064327,1-27-2025,Damage,22836,0,Pending,03-01-25,Local Provider,14,Low Risk,33
3014383,2064591,1064591,08-12-26,Damage,10224,0,Pending,8-24-2026,Metro Hospital,27,Low Risk,12
3014388,2064616,1064616,2-16-2025,Damage,13129,0,Pending,4-14-2025,AutoCare Garage,23,Low Risk,57
3014419,2064752,1064752,10-12-24,Damage,22502,0,Pending,12-04-24,Fortis Partner,17,Low Risk,53
3014428,2064772,1064772,5-16-2025,Damage,13675,0,Pending,7-13-2025,City Care,32,Low Risk,58
3014433,2064794,1064794,5-27-2026,Damage,39471,0,Pending,6-13-2026,Metro Hospital,3,Low Risk,17
3014434,2064795,1064795,2-24-2024,Damage,26462,0,Pending,3-21-2024,Prime Garage,5,Low Risk,26
3014443,2064851,1064851,11-03-25,Damage,3000,0,Pending,12-07-25,Fortis Partner,9,Low Risk,34
3014449,2064882,1064882,6-23-2026,Damage,135564,0,Pending,8-14-2026,City Care,31,Low Risk,52
3014475,2064994,1064994,07-09-26,Damage,31934,0,Pending,9-17-2026,Prime Garage,5,Low Risk,70
3014486,2065079,1065079,04-05-24,Damage,10816,0,Pending,05-10-24,Max Partner,7,Low Risk,35
3014540,2065307,1065307,1-16-2026,Damage,59484,0,Pending,3-16-2026,City Care,27,Low Risk,59
3014564,2065409,1065409,4-18-2026,Damage,19738,0,Pending,5-30-2026,Local Provider,16,Low Risk,42
3014573,2065444,1065444,09-09-25,Damage,142434,0,Pending,11-12-25,AutoCare Garage,23,Low Risk,64
