?????,Agent_Name,Branch,State,Joining_Date,Policies_Sold,Premium_Generated
5250,Agent_5250,Central,Uttar Pradesh,7-28-2024,304,18875546
5263,Agent_5263,Central,Maharashtra,12-12-17,328,22413465
5271,Agent_5271,Central,Madhya Pradesh,5-29-2020,372,20047367
5274,Agent_5274,Central,Rajasthan,4-28-2018,350,21681772
5275,Agent_5275,Central,Rajasthan,12-24-2024,327,22037048
5276,Agent_5276,Central,Haryana,7-17-2023,312,18819833
5284,Agent_5284,Central,Tamil Nadu,12-22-2021,317,18459552
5286,Agent_5286,Central,Haryana,01-08-19,319,20591052
5293,Agent_5293,Central,Telangana,04-02-20,359,20805583
5294,Agent_5294,Central,Telangana,8-14-2017,368,21676725
5297,Agent_5297,Central,Haryana,10-12-22,322,20040401
5298,Agent_5298,Central,Telangana,06-06-17,333,20001744
5003,Agent_5003,South,Madhya Pradesh,01-06-19,341,24099049
5004,Agent_5004,West,Maharashtra,10-10-21,368,20430606
5005,Agent_5005,West,Kerala,11-20-2018,320,22102020
5006,Agent_5006,East,West Bengal,12-13-2024,364,22999086
5007,Agent_5007,West,Haryana,03-12-18,334,19549933
5009,Agent_5009,North,Uttar Pradesh,08-05-18,274,17931988
5010,Agent_5010,West,Delhi,01-04-17,340,25236005
5011,Agent_5011,East,Tamil Nadu,8-27-2021,312,19175840
5012,Agent_5012,East,Rajasthan,12-02-24,316,18901017
5013,Agent_5013,North,Karnataka,04-02-18,332,22114644
5015,Agent_5015,South,Rajasthan,08-08-19,329,19674061
5017,Agent_5017,South,Delhi,04-11-22,308,19122381
5018,Agent_5018,East,Uttar Pradesh,4-25-2021,374,22078344
5019,Agent_5019,West,Delhi,3-13-2024,343,22279609
5020,Agent_5020,East,Haryana,12-14-2018,331,20602943
5021,Agent_5021,West,Uttar Pradesh,5-23-2024,310,20158288
5023,Agent_5023,West,Madhya Pradesh,2-19-2017,337,21383177
5024,Agent_5024,East,Delhi,11-14-2021,343,20017280
5026,Agent_5026,North,Delhi,11-01-21,349,20687268
5028,Agent_5028,East,Kerala,7-22-2020,357,23042462
5029,Agent_5029,South,Rajasthan,1-21-2017,331,19524761
5032,Agent_5032,North,West Bengal,2-18-2020,337,21721515
5034,Agent_5034,North,Madhya Pradesh,09-09-24,308,20478178
5036,Agent_5036,North,Maharashtra,11-13-2023,339,23248922
5037,Agent_5037,South,Uttar Pradesh,04-06-24,305,19994227
5039,Agent_5039,West,Uttar Pradesh,03-12-23,345,19351615
5040,Agent_5040,West,Rajasthan,02-02-24,320,18204129
5041,Agent_5041,North,Maharashtra,4-19-2020,329,20882726
5042,Agent_5042,North,Delhi,5-25-2018,369,22991917
5043,Agent_5043,South,Rajasthan,10-13-2018,296,16942084
5044,Agent_5044,South,Uttar Pradesh,9-29-2018,361,20508622
5045,Agent_5045,West,Tamil Nadu,10-03-19,354,19434359
5046,Agent_5046,East,Maharashtra,11-16-2021,329,16541390
5047,Agent_5047,South,Gujarat,07-10-21,306,17794077
5048,Agent_5048,West,Telangana,09-09-17,353,21047805
5049,Agent_5049,East,Karnataka,02-07-19,346,20413899
5053,Agent_5053,West,Madhya Pradesh,2-18-2022,380,25104054
5054,Agent_5054,West,Delhi,06-03-18,331,18700364
5055,Agent_5055,West,Maharashtra,3-20-2017,301,15602999
5056,Agent_5056,South,Haryana,9-20-2023,342,20858441
5057,Agent_5057,East,West Bengal,05-08-21,356,25033431
5060,Agent_5060,South,Uttar Pradesh,06-01-18,298,15649510
5061,Agent_5061,North,West Bengal,8-26-2022,288,20021035
5062,Agent_5062,East,Maharashtra,3-20-2023,331,19714602
5063,Agent_5063,West,Maharashtra,03-08-23,356,23206625
5064,Agent_5064,West,Telangana,04-07-18,353,18095608
5065,Agent_5065,West,West Bengal,3-31-2021,328,19216596
5067,Agent_5067,West,Telangana,12-18-2023,305,18406585
5068,Agent_5068,West,Haryana,08-04-23,322,19049563
5070,Agent_5070,East,Maharashtra,04-03-18,332,20719635
5071,Agent_5071,East,Maharashtra,11-27-2020,345,21298045
5073,Agent_5073,West,Delhi,3-26-2021,332,19134899
5074,Agent_5074,East,Kerala,11-10-24,351,23029651
5076,Agent_5076,East,Madhya Pradesh,3-28-2017,346,22183429
5077,Agent_5077,South,Maharashtra,11-01-22,312,17285638
5079,Agent_5079,East,Telangana,8-21-2017,348,21008598
5080,Agent_5080,West,Uttar Pradesh,10-23-2017,331,21413246
5081,Agent_5081,West,Uttar Pradesh,4-27-2018,348,19490478
5083,Agent_5083,East,Madhya Pradesh,05-08-21,318,21004746
5084,Agent_5084,North,Maharashtra,1-31-2022,317,19557484
5086,Agent_5086,East,Kerala,11-14-2021,319,18358909
5087,Agent_5087,East,Delhi,07-10-23,338,19531539
5090,Agent_5090,West,Gujarat,11-08-21,304,20276989
5091,Agent_5091,North,Tamil Nadu,09-05-22,345,21596310
5092,Agent_5092,North,Tamil Nadu,6-22-2020,368,21391080
5094,Agent_5094,West,West Bengal,09-04-22,334,23054563
5095,Agent_5095,South,Tamil Nadu,2-28-2022,375,26349002
5096,Agent_5096,South,Madhya Pradesh,10-02-17,333,18352915
5097,Agent_5097,South,Tamil Nadu,3-13-2018,345,20638192
5098,Agent_5098,South,Madhya Pradesh,5-23-2022,331,18624786
5099,Agent_5099,South,Rajasthan,11-21-2018,344,20587777
5100,Agent_5100,North,Maharashtra,1-26-2021,349,19658469
5101,Agent_5101,North,Karnataka,02-12-24,357,21641174
5102,Agent_5102,North,Haryana,07-11-19,312,20353917
5103,Agent_5103,East,Rajasthan,4-18-2020,341,20767679
5104,Agent_5104,East,Haryana,4-15-2023,344,20403600
5105,Agent_5105,South,Gujarat,5-22-2021,319,19070222
5106,Agent_5106,North,Haryana,3-13-2022,336,21081036
5107,Agent_5107,East,Gujarat,8-21-2024,337,20007124
5108,Agent_5108,North,Gujarat,10-15-2024,318,21039682
5110,Agent_5110,North,Kerala,06-01-22,357,22582913
5111,Agent_5111,North,Uttar Pradesh,10-11-17,334,20391750
5112,Agent_5112,West,Karnataka,10-27-2024,307,20463097
5113,Agent_5113,North,Delhi,1-28-2023,333,22319950
5114,Agent_5114,West,Delhi,12-11-23,379,22809004
5115,Agent_5115,North,Rajasthan,11-04-21,342,21688052
5116,Agent_5116,South,West Bengal,3-28-2023,340,22224177
5117,Agent_5117,North,Maharashtra,04-11-20,332,20844137
5119,Agent_5119,South,Telangana,4-15-2021,353,20523654
5120,Agent_5120,West,Gujarat,11-17-2020,321,18643243
5121,Agent_5121,West,Uttar Pradesh,4-18-2020,324,19353386
5122,Agent_5122,East,Kerala,12-21-2023,330,21764872
5123,Agent_5123,West,Tamil Nadu,7-26-2018,316,18460619
5125,Agent_5125,West,Telangana,8-27-2021,357,21609508
5126,Agent_5126,West,Gujarat,12-21-2019,360,20567039
5127,Agent_5127,South,Madhya Pradesh,6-21-2022,346,23052773
5128,Agent_5128,South,Tamil Nadu,6-25-2019,328,18969003
5129,Agent_5129,South,Tamil Nadu,11-03-19,295,19558738
5130,Agent_5130,North,Maharashtra,1-21-2024,334,21364348
5131,Agent_5131,West,Delhi,11-05-22,331,19362327
5132,Agent_5132,South,Karnataka,3-27-2017,351,21880067
5134,Agent_5134,East,Telangana,04-04-17,316,20023442
5135,Agent_5135,North,Kerala,5-25-2019,308,18716897
5137,Agent_5137,East,Tamil Nadu,7-24-2023,299,21358448
5138,Agent_5138,South,Kerala,03-09-17,333,18387158
5140,Agent_5140,South,Maharashtra,06-12-22,362,23476030
5141,Agent_5141,West,Karnataka,01-04-24,352,20875587
5142,Agent_5142,South,Telangana,05-02-20,330,18825024
5143,Agent_5143,West,Uttar Pradesh,8-25-2018,305,18787310
5144,Agent_5144,East,Karnataka,11-28-2020,323,20971434
5145,Agent_5145,North,Delhi,01-04-22,317,21516391
5146,Agent_5146,East,Haryana,12-27-2024,319,18815321
5147,Agent_5147,South,Kerala,12-13-2022,317,17854592
5148,Agent_5148,East,Tamil Nadu,03-03-20,340,20340760
5150,Agent_5150,East,Delhi,07-06-24,314,17306097
5152,Agent_5152,North,Kerala,2-18-2019,358,21289264
5153,Agent_5153,North,Madhya Pradesh,03-11-22,319,19212905
5154,Agent_5154,East,Telangana,03-01-18,355,20086500
5155,Agent_5155,West,Karnataka,4-27-2019,340,20376007
5156,Agent_5156,West,Uttar Pradesh,09-09-20,345,19470611
5157,Agent_5157,South,Gujarat,2-23-2024,301,18074728
5158,Agent_5158,East,Telangana,4-28-2022,320,18235505
5160,Agent_5160,South,Madhya Pradesh,2-13-2019,329,20865007
5163,Agent_5163,South,Tamil Nadu,9-28-2023,321,17226351
5164,Agent_5164,North,Delhi,09-03-24,338,20883101
5166,Agent_5166,West,Uttar Pradesh,12-21-2022,306,18123441
5167,Agent_5167,East,Delhi,2-26-2018,313,21121186
5168,Agent_5168,East,Kerala,4-26-2021,348,19546844
5169,Agent_5169,South,Telangana,9-29-2023,335,21065410
5173,Agent_5173,East,Haryana,10-04-19,325,18892646
5174,Agent_5174,North,Madhya Pradesh,01-06-23,337,19711118
5175,Agent_5175,East,Delhi,7-19-2022,295,15440181
5176,Agent_5176,West,Karnataka,7-15-2019,316,22829107
5177,Agent_5177,North,Telangana,10-01-24,348,21529203
5178,Agent_5178,South,Maharashtra,08-01-18,322,18414184
5179,Agent_5179,South,Gujarat,6-27-2023,347,24441599
5180,Agent_5180,South,Tamil Nadu,08-07-17,339,16733593
5181,Agent_5181,South,Haryana,01-02-21,336,21531988
5183,Agent_5183,West,Maharashtra,06-10-21,310,19200634
5184,Agent_5184,West,Telangana,5-15-2018,345,18534440
5186,Agent_5186,East,Madhya Pradesh,10-17-2023,338,17731483
5187,Agent_5187,South,Tamil Nadu,1-21-2022,299,17429236
5189,Agent_5189,South,Delhi,9-17-2020,368,24303716
5194,Agent_5194,West,Uttar Pradesh,03-09-24,344,21247426
5195,Agent_5195,North,Rajasthan,09-04-20,343,22201155
5197,Agent_5197,East,Telangana,8-15-2024,344,18317211
5198,Agent_5198,West,Rajasthan,12-07-22,337,20255799
5199,Agent_5199,East,Rajasthan,12-14-2020,319,18346396
5200,Agent_5200,South,Telangana,01-08-18,333,18892614
5202,Agent_5202,East,West Bengal,6-22-2019,344,18466923
5203,Agent_5203,North,Gujarat,4-27-2020,321,19956513
5204,Agent_5204,West,West Bengal,08-06-23,319,21471323
5205,Agent_5205,West,Uttar Pradesh,12-29-2023,339,19983535
5206,Agent_5206,South,Karnataka,9-22-2017,351,22666399
5207,Agent_5207,North,Haryana,7-28-2017,322,21486310
5208,Agent_5208,East,Rajasthan,6-13-2018,297,16054229
5209,Agent_5209,East,Rajasthan,11-03-24,309,17417991
5210,Agent_5210,West,Telangana,06-04-21,310,21807143
5212,Agent_5212,West,Gujarat,1-23-2024,331,20041085
5213,Agent_5213,East,Kerala,2-18-2024,332,19338322
5216,Agent_5216,South,Tamil Nadu,11-24-2021,322,18659228
5217,Agent_5217,North,Kerala,6-22-2018,353,20802262
5218,Agent_5218,East,Kerala,3-22-2017,350,22941217
5220,Agent_5220,East,Delhi,10-07-19,335,19375166
5222,Agent_5222,East,Maharashtra,05-08-22,333,20125822
5224,Agent_5224,West,Rajasthan,07-09-19,344,22924959
5225,Agent_5225,North,Tamil Nadu,7-15-2022,335,20292943
5226,Agent_5226,North,Karnataka,11-30-2020,326,23331476
5227,Agent_5227,East,Karnataka,11-29-2017,290,16274349
5230,Agent_5230,North,West Bengal,6-26-2019,331,20044640
5231,Agent_5231,West,Rajasthan,9-30-2021,316,19281778
5232,Agent_5232,North,Maharashtra,05-03-18,344,20591589
5233,Agent_5233,South,Karnataka,07-06-24,332,16158694
5235,Agent_5235,North,Haryana,09-01-24,321,24323900
5236,Agent_5236,West,Gujarat,9-17-2021,357,21424430
5237,Agent_5237,North,Delhi,01-06-19,343,23755355
5238,Agent_5238,West,Rajasthan,02-10-23,347,21141299
5239,Agent_5239,North,Tamil Nadu,12-22-2022,324,19676333
5240,Agent_5240,East,Uttar Pradesh,11-09-23,343,20347752
5242,Agent_5242,West,Tamil Nadu,2-27-2022,355,25157252
5243,Agent_5243,West,Tamil Nadu,1-24-2024,308,17143187
5244,Agent_5244,East,Gujarat,2-26-2019,334,22298352
5247,Agent_5247,South,Maharashtra,6-25-2020,326,17974017
5248,Agent_5248,South,Maharashtra,12-31-2022,318,20111272
5249,Agent_5249,West,Karnataka,03-06-23,316,17078731
5251,Agent_5251,South,Tamil Nadu,12-17-2018,344,21987831
5252,Agent_5252,West,Uttar Pradesh,4-24-2019,327,22553703
5253,Agent_5253,North,Tamil Nadu,01-09-21,349,20516962
5254,Agent_5254,East,Delhi,6-16-2019,334,21445436
5255,Agent_5255,North,Haryana,1-27-2024,293,19834878
5256,Agent_5256,North,Tamil Nadu,12-25-2022,314,21603899
5257,Agent_5257,West,Uttar Pradesh,12-04-18,344,19948243
5258,Agent_5258,West,Telangana,01-04-17,352,23827823
5259,Agent_5259,West,Uttar Pradesh,07-07-17,306,20343300
5260,Agent_5260,East,Haryana,1-16-2024,329,22988842
5261,Agent_5261,East,Maharashtra,12-03-19,332,21589783
5262,Agent_5262,East,Madhya Pradesh,05-06-24,340,21770720
5264,Agent_5264,East,Gujarat,10-07-20,372,21821177
5265,Agent_5265,North,Tamil Nadu,06-11-18,365,21344559
5266,Agent_5266,East,Delhi,1-27-2019,344,19965871
5267,Agent_5267,West,Tamil Nadu,2-24-2024,320,20122697
5268,Agent_5268,North,Telangana,11-05-19,314,19998369
5269,Agent_5269,East,Kerala,9-21-2021,336,19907329
5270,Agent_5270,West,Tamil Nadu,2-17-2024,352,22337236
5272,Agent_5272,North,Delhi,05-03-23,353,22283850
5273,Agent_5273,East,Karnataka,5-26-2021,374,22734320
5277,Agent_5277,West,Rajasthan,08-01-17,336,17835030
5278,Agent_5278,South,Maharashtra,11-29-2022,324,18703831
5279,Agent_5279,East,Telangana,02-10-19,333,20882966
5280,Agent_5280,South,Gujarat,9-22-2023,383,23280202
5281,Agent_5281,South,Maharashtra,4-14-2024,315,18711650
5282,Agent_5282,West,Delhi,2-14-2021,320,19441467
5283,Agent_5283,North,Madhya Pradesh,9-18-2023,347,20144333
5285,Agent_5285,North,Maharashtra,10-28-2024,337,23496640
5287,Agent_5287,North,Kerala,4-26-2018,353,19078070
5288,Agent_5288,North,West Bengal,03-04-21,313,17659454
5289,Agent_5289,West,Madhya Pradesh,2-23-2024,314,16812662
5290,Agent_5290,South,Tamil Nadu,1-25-2022,361,20641128
5291,Agent_5291,East,Delhi,04-05-22,348,21010636
5292,Agent_5292,East,Maharashtra,3-15-2020,337,22039154
5295,Agent_5295,South,Haryana,8-29-2023,339,17582953
5296,Agent_5296,South,Gujarat,3-23-2017,345,22081770
5299,Agent_5299,South,Karnataka,3-27-2018,360,20312297
5300,Agent_5300,North,Delhi,9-13-2018,349,20743570
